ME   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
277971326.77592826   1.2818464748801894   50.8465759048166   159.40764626443016
282162958.30908036   1.2628041876254537   50.091231857558725   157.03958873940368
286417796.9906586   1.2440447803497137   49.34710871592865   154.70670955477206
290736795.9444227   1.2255640507698462   48.614039789365535   152.4084861237239
295120922.6666378   1.207357859029129   47.89186086355576   150.14440362266004
299571159.24279946   1.189422126769893   47.180410163648084   147.91395487586993
304088502.5676283   1.1717528362199396   46.47952831801486   145.71664024192077
308673964.56838566   1.1543460292925098   45.789058322550886   143.5519675017314
313328572.4315589   1.1371978066996236   45.10884550550244   141.41945174830937
318053368.8329517   1.120304327078635   44.43873749282067   139.31861527813098
322849412.1712638   1.1036618061316945   43.77858417402702   137.24898748412687
327717776.8051715   1.0872665157780668   43.128237668588326   135.21010475026594
332659553.2940047   1.071114783318969   42.48755229278887   133.20151034769657
337675848.64203197   1.0552029906148896   41.85638452709736   131.22275433243985
342767786.5464505   1.0395275732750529   41.23459298401558   129.27339344459284
347936507.6490936   1.024085019858999   40.622038376407865   127.3529910090391
353183169.791957   1.008871871089955   40.01858348629806   125.4611168376251
358508948.27655566   0.9938847190799504   39.4240931341325   123.59734713279727
363915036.1272071   0.9791202065664082   38.83843414849804   121.7612643926661
369402644.3582826   0.9645750261600794   38.261475336290225   119.95245731748099
374973002.2454834   0.9502459196041622   37.69308745332495   118.17052071749583
380627357.60120636   0.9361296770444321   37.133143175386984   116.41505542220398
386366977.0540689   0.9222231363101957   36.58151706970777   114.68566819091934
392193146.332649   0.9085231822059265   36.03808556686705   112.98197162468554
398107170.5534969   0.8950267458134411   35.50272693311243   111.30358407949623
404110374.5134908   0.8817308038044382   34.975321243090164   109.65012958080398
410204102.9866064   0.8686323777632401   34.45575035298051   108.02123773929753
416389721.02516425   0.8557285335195851   33.94389787403192   106.41654366792982
422668614.2656024   0.8430163804913742   33.43964914648989   104.83568790018293
429042189.2388857   0.8304930710371234   32.942891213910976   103.2783163095408
435511873.6855679   0.8181557998180948   32.453512797860576   101.74408003016492
442079116.87563306   0.8060018031698449   31.97140427298447   100.23263537874176
448745389.9331314   0.7940283584831667   31.496457642452746   98.74364377749781
455512186.16573924   0.7822327835941723   31.02856651376648   97.27677167835184
462381021.3992594   0.7706124361834883   30.56762607492578   95.83169048819977
469353434.3171951   0.7591647131843284   30.11353307095001   94.40807649530423
476430986.8054166   0.7478870501994014   29.666185780748485   93.0056107967823
483615264.3020435   0.7367769209264541   29.225483994333665   91.62397922716738
490907876.1526019   0.72583183659235   28.79132899037294   90.26287228803231
498310455.97052926   0.7150493453955659   28.363623514074348   88.92198507865967
505824662.00311476   0.7044270319569723   27.942271755400846   87.60101722774174
513452177.5029663   0.6939625167787596   27.52717932760771   86.29967282609394
521194711.1050811   0.6836534557113989   27.118253246098657   85.01766036036723
529053997.2095814   0.6734975394285516   26.715401907597276   83.75469264774891
537031796.3702532   0.6634924929097358   26.31853506962611   82.51048677162818
545129895.68891   0.6536360749307217   25.92756383029234   81.28476401822287
